,작성자,채팅 내용,작성시간
0,물부리왕,서울 아파트 하락하면 지방은 불보듯 번하지....ㅜ.ㅡ,2020-12-31 19:35:33
0,킴위원,문두한,2020-12-31 19:35:35
0,왕귀요미ワンギヨミ,객관적으로 이게사실이면 문정부 잘하는거임,2020-12-31 19:35:37
0,이승혜,야 모니 찌질이~ㅡㅡ,2020-12-31 19:35:44
0,이학렬,ㅡ코로나.ㅡ중증환자.ㅡ사망자들은. ㅡ모두.청와대로ㅡ,2020-12-31 19:35:49
0,국민소환제,방역 1등하는 정부가 무능하다니 ㅋㅋㅋ,2020-12-31 19:35:50
0,야생화편지,@신미숙..일본으로 갈 하루확진자 4천명 나온댄다.,2020-12-31 19:35:51
0,다윗,사딸라,2020-12-31 19:35:51
0,응ᄒ,윙 윙 첨단 백신 ~ ~,2020-12-31 19:35:55
0,김수현,교도소 빼면 줄어들고있는거 아닌가,2020-12-31 19:35:56
0,소나무,문재인대통령님 서울시민아파트떡상 ~백만장자 고맙습니다~,2020-12-31 19:35:57
0,이승혜,졸라 너 골때린다?ㅡㅡ,2020-12-31 19:36:00
0,박종민,체인지스탠드 재밌었어요😄,2020-12-31 19:36:02
0,이학렬,ㅡ코로나.ㅡ중증환자.ㅡ사망자들은. ㅡ모두.청와대로ㅡ,2020-12-31 19:36:02
0,국민소환제,경제성장률 1위하는데 무능하다니 ㅋㅋ,2020-12-31 19:36:02
0,중2바른말,oecd 1위가 그리 중요했습니꽈~,2020-12-31 19:36:02
0,왕귀요미ワンギヨミ,국힘당 정권이였으면 아찔함,2020-12-31 19:36:03
0,물부리왕,안철수가 서울 아파트 가격은 걍 나두길 바란다..,2020-12-31 19:36:10
0,문쿠폰,1등 아닌데 또 행복회로 돌리죠 ㅋ,2020-12-31 19:36:11
0,국민소환제,신미숙 저런 애들은 대체 뭘가 ㅋㅋ,2020-12-31 19:36:12
0,이학렬,ㅡ공수처빨고ㅡ헬렐레ㅡ쩝쩌비ㅡ개판방역,2020-12-31 19:36:15
0,윤케이,병상없어길거리엠쁘란스에서죽어나간다,2020-12-31 19:36:22
0,이승혜,미친 나한테 관심좀 꺼 더로우니까~!!!ㅡㅡ,2020-12-31 19:36:25
0,라스푸친,일본 1~2월 접종은 개잘하는 거고 우리나라 1~2월 접종은 개못하는거지? ㅋㅋㅋ 그쟈? ㅋㅋㅋ,2020-12-31 19:36:26
0,정wee,낸 기냥 방콕한다,2020-12-31 19:36:26
0,킹이베,여러분 아파트 엽기적 상승이 먼지나 알고봅시다,2020-12-31 19:36:26
0,차호박,한달 쌀 10키로에 돈 52만 집세 15만 폰비 의료비 조금보조 괴롭네요 다 죽겠다고 하니 집도 절도 물도없다 난민이다 괴롭다,2020-12-31 19:36:27
0,킴위원,대(가리) 깨(질) 문(상아리),2020-12-31 19:36:28
0,이학렬,ㅡ문제인ㅡ레임덕ㅡ못버틴다,2020-12-31 19:36:28
0,소나무,백신내놔 무능한 정부야,2020-12-31 19:36:29
0,정wee,크크크~~,2020-12-31 19:36:30
0,스타스카이1,최소 더듬진 않겠지,2020-12-31 19:36:33
0,국민소환제,명박그내때 좋은걸로 1등한거 잇니? ㅋㅋㅋ,2020-12-31 19:36:34
0,야생화편지,@신미숙 주옥순 같은 것들..아베만세하잖여,2020-12-31 19:36:35
0,김수현,국민의짐이 정권잡았으면 지금 중국인 때려잡고 있겠지,2020-12-31 19:36:37
0,August,삐죽이들 백신 1억개에 부들거리눈 보소 ㅋㅋㅋㅋㅋ,2020-12-31 19:36:39
0,이학렬,ㅡ문제인ㅡ레임덕ㅡ못버틴다,2020-12-31 19:36:42
